,utid,participant,experiment,difficulty,scenario,actions,accuracy,judgement_accuracy,posterior_entropy
8678,3_56cb8858edf8da000b6df354_crime_congruent,56cb8858edf8da000b6df354,experiment_3,1,crime,1,0.8604273684402294,0.8825559560970593,8.482905473
8702,3_56cb8858edf8da000b6df354_finance_incongruent,56cb8858edf8da000b6df354,experiment_3,2,finance,1,0.8787321874818335,0.8450806661517034,8.529236987
8726,3_571de12713b1b70012be47f6_crime_incongruent,571de12713b1b70012be47f6,experiment_3,2,crime,1,0.8867722965855405,1.0,2.809236594
8750,3_571de12713b1b70012be47f6_finance_congruent,571de12713b1b70012be47f6,experiment_3,1,finance,1,0.9246221638555591,1.0,2.915024331
8774,3_572f526c3c27e7000e0b8aaa_crime_congruent,572f526c3c27e7000e0b8aaa,experiment_3,1,crime,1,0.8769085090206673,0.8769085090206673,12.27190233
8798,3_572f526c3c27e7000e0b8aaa_finance_incongruent,572f526c3c27e7000e0b8aaa,experiment_3,2,finance,1,0.8551586351244197,0.6107505279192385,11.85131641
8822,3_5831960ab232860001b110dc_crime_incongruent,5831960ab232860001b110dc,experiment_3,2,crime,1,0.5527864045000421,0.4979715941052706,13.93156857
8846,3_5831960ab232860001b110dc_finance_congruent,5831960ab232860001b110dc,experiment_3,1,finance,1,0.4861906968533949,0.4861906968533949,13.93156857
8870,3_594abd98215cbd000146debc_crime_incongruent,594abd98215cbd000146debc,experiment_3,2,crime,1,0.5149287499273341,0.47209042006214363,13.93156857
8894,3_594abd98215cbd000146debc_finance_congruent,594abd98215cbd000146debc,experiment_3,1,finance,1,0.676770032422273,0.5755895576184717,13.93156857
8918,3_5acc65f668b65b00018db322_crime_incongruent,5acc65f668b65b00018db322,experiment_3,2,crime,1,0.8259223440443022,0.8778305556436947,7.392174481
8942,3_5acc65f668b65b00018db322_finance_congruent,5acc65f668b65b00018db322,experiment_3,1,finance,1,0.9221501055838477,1.0,7.544720404
8966,3_5b339152afe1d00001c6c509_crime_incongruent,5b339152afe1d00001c6c509,experiment_3,2,crime,1,1.0,0.9157848078933482,9.925848929
8990,3_5b339152afe1d00001c6c509_finance_congruent,5b339152afe1d00001c6c509,experiment_3,1,finance,1,0.91695452014626,0.8778305556436947,8.417548941
9014,3_5b84a7ea4f38790001778d53_crime_incongruent,5b84a7ea4f38790001778d53,experiment_3,2,crime,1,0.8595121282627459,0.9237507148336976,7.037730219
9038,3_5b84a7ea4f38790001778d53_finance_congruent,5b84a7ea4f38790001778d53,experiment_3,1,finance,1,0.8433479100024085,0.8892302448756577,7.785214802
9062,3_5c018eb6067bbf00019ba43d_crime_congruent,5c018eb6067bbf00019ba43d,experiment_3,1,crime,1,0.8093074821508816,0.8521557458090854,5.276036314
9086,3_5c018eb6067bbf00019ba43d_finance_incongruent,5c018eb6067bbf00019ba43d,experiment_3,2,finance,1,1.0,0.6438179234692023,5.350154307
9110,3_5c06fc4918ac7e00016bf76d_crime_incongruent,5c06fc4918ac7e00016bf76d,experiment_3,2,crime,1,0.8927887465162205,0.8153627635310009,9.246698452
9134,3_5c06fc4918ac7e00016bf76d_finance_congruent,5c06fc4918ac7e00016bf76d,experiment_3,1,finance,1,1.0,0.9199359230974564,8.432209486
9158,3_5c17c149f596b100011ca8b8_crime_congruent,5c17c149f596b100011ca8b8,experiment_3,1,crime,1,0.7491273969978728,0.7771875450722694,11.34138329
9182,3_5c17c149f596b100011ca8b8_finance_incongruent,5c17c149f596b100011ca8b8,experiment_3,2,finance,1,0.8143046618229481,0.7350935285869913,11.66939885
9206,3_5c6400cbcb937d00012d8866_crime_congruent,5c6400cbcb937d00012d8866,experiment_3,1,crime,1,0.8295014151323816,0.7714418980430813,13.7059028
9230,3_5c6400cbcb937d00012d8866_finance_incongruent,5c6400cbcb937d00012d8866,experiment_3,2,finance,1,0.8778305556436947,0.8126828376836612,13.59588692
9254,3_5c7dd22debc24800018e7ca0_crime_congruent,5c7dd22debc24800018e7ca0,experiment_3,1,crime,1,0.8845299461620748,0.7386133489130333,13.25231461
9278,3_5c7dd22debc24800018e7ca0_finance_incongruent,5c7dd22debc24800018e7ca0,experiment_3,2,finance,1,1.0,0.7309862065755148,13.4098088
9302,3_5c8bafb53b6f3d00013d7c30_crime_congruent,5c8bafb53b6f3d00013d7c30,experiment_3,1,crime,1,0.889903623487364,0.6656330724547883,12.71394454
9326,3_5c8bafb53b6f3d00013d7c30_finance_incongruent,5c8bafb53b6f3d00013d7c30,experiment_3,2,finance,1,1.0,0.7075511740671991,13.2701464
9350,3_5cf9179b8c98dc0001d5a431_crime_incongruent,5cf9179b8c98dc0001d5a431,experiment_3,2,crime,1,0.8143046618229481,0.8132281580905929,10.52920037
9374,3_5cf9179b8c98dc0001d5a431_finance_congruent,5cf9179b8c98dc0001d5a431,experiment_3,1,finance,1,0.7784604897513154,0.785401231180262,10.10691467
9398,3_5cfddbd3ee0b1500019fa84c_crime_congruent,5cfddbd3ee0b1500019fa84c,experiment_3,1,crime,1,0.91695452014626,1.0,3.479526441
9422,3_5cfddbd3ee0b1500019fa84c_finance_incongruent,5cfddbd3ee0b1500019fa84c,experiment_3,2,finance,1,1.0,0.9098330365332568,4.193738803
9446,3_5d1a69d8f97a18001977e0d7_crime_incongruent,5d1a69d8f97a18001977e0d7,experiment_3,2,crime,1,0.9163757989992909,0.9163757989992909,9.973660257
9470,3_5d1a69d8f97a18001977e0d7_finance_congruent,5d1a69d8f97a18001977e0d7,experiment_3,1,finance,1,0.7226499018873854,0.772078847080724,8.650568162
9494,3_5d1c9f75328d1c001af3af0f_crime_congruent,5d1c9f75328d1c001af3af0f,experiment_3,1,crime,1,0.8209712814901418,0.7651119121941186,6.159019032
9518,3_5d1c9f75328d1c001af3af0f_finance_incongruent,5d1c9f75328d1c001af3af0f,experiment_3,2,finance,1,0.8817375208021835,0.9199359230974564,6.235885792
9542,3_5d470786da637a00014ba26f_crime_congruent,5d470786da637a00014ba26f,experiment_3,1,crime,1,0.8044204353205106,0.5751614366867707,12.14967434
