,utid,participant,experiment,difficulty,scenario,actions,accuracy,judgement_accuracy,posterior_entropy
8685,3_56cb8858edf8da000b6df354_crime_congruent,56cb8858edf8da000b6df354,experiment_3,1,crime,TA,1.0,0.8561610095543848,13.9303348
8709,3_56cb8858edf8da000b6df354_finance_incongruent,56cb8858edf8da000b6df354,experiment_3,2,finance,TA,1.0,0.9105572809000084,13.9303348
8733,3_571de12713b1b70012be47f6_crime_incongruent,571de12713b1b70012be47f6,experiment_3,2,crime,TA,1.0,0.886039423540362,13.92983256
8757,3_571de12713b1b70012be47f6_finance_congruent,571de12713b1b70012be47f6,experiment_3,1,finance,TA,0.8933996418221948,0.9221501055838477,13.92983256
8781,3_572f526c3c27e7000e0b8aaa_crime_congruent,572f526c3c27e7000e0b8aaa,experiment_3,1,crime,TA,1.0,1.0,13.93110272
8805,3_572f526c3c27e7000e0b8aaa_finance_incongruent,572f526c3c27e7000e0b8aaa,experiment_3,2,finance,TA,0.9163757989992909,0.6518446880886043,13.93110272
8829,3_5831960ab232860001b110dc_crime_incongruent,5831960ab232860001b110dc,experiment_3,2,crime,TA,0.8825559560970593,0.6626261151016841,13.93151567
8853,3_5831960ab232860001b110dc_finance_congruent,5831960ab232860001b110dc,experiment_3,1,finance,TA,1.0,1.0,13.93100535
8877,3_594abd98215cbd000146debc_crime_incongruent,594abd98215cbd000146debc,experiment_3,2,crime,TA,0.5149287499273341,0.47209042006214363,13.93156857
8901,3_594abd98215cbd000146debc_finance_congruent,594abd98215cbd000146debc,experiment_3,1,finance,TA,0.676770032422273,0.5755895576184717,13.93156857
8925,3_5acc65f668b65b00018db322_crime_incongruent,5acc65f668b65b00018db322,experiment_3,2,crime,TA,0.9221501055838477,0.8778305556436947,13.93092434
8949,3_5acc65f668b65b00018db322_finance_congruent,5acc65f668b65b00018db322,experiment_3,1,finance,TA,1.0,0.9246221638555591,13.93092434
8973,3_5b339152afe1d00001c6c509_crime_incongruent,5b339152afe1d00001c6c509,experiment_3,2,crime,TA,1.0,0.9157848078933482,13.92982442
8997,3_5b339152afe1d00001c6c509_finance_congruent,5b339152afe1d00001c6c509,experiment_3,1,finance,TA,1.0,0.913613157441864,13.92982442
9021,3_5b84a7ea4f38790001778d53_crime_incongruent,5b84a7ea4f38790001778d53,experiment_3,2,crime,TA,0.8852921330647191,0.8475014296673953,13.93140776
9045,3_5b84a7ea4f38790001778d53_finance_congruent,5b84a7ea4f38790001778d53,experiment_3,1,finance,TA,1.0,0.8433479100024085,13.93140776
9069,3_5c018eb6067bbf00019ba43d_crime_congruent,5c018eb6067bbf00019ba43d,experiment_3,1,crime,TA,1.0,0.8954583253021366,13.93067944
9093,3_5c018eb6067bbf00019ba43d_finance_incongruent,5c018eb6067bbf00019ba43d,experiment_3,2,finance,TA,1.0,0.6438179234692023,13.93067944
